"id","sourceName","scientificName","diet_inv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_planto","diet_5cat","forstrat_watbelowsurf","forstrat_wataroundsurf","forstrat_ground","forstrat_understory","forstrat_midhigh","forstrat_canopy","forstrat_aerial","pelagicspecialist","nocturnal","bodymass_value"
"ITIS:915881","Sturnus philippensis","Sturnus philippensis",40,0,0,0,0,0,40,20,0,0,"FruiNect",0,0,0,50,50,0,0,0,0,28.8
"ITIS:915882","Sturnus sinensis","Sturnus sinensis",80,0,0,0,0,0,20,0,0,0,"Invertebrate",0,0,100,0,0,0,0,0,0,61
"ITIS:915888","Sturnus roseus","Sturnus roseus",60,0,0,0,0,0,40,0,0,0,"Invertebrate",0,0,100,0,0,0,0,0,0,72.97
"ITIS:179637","Sturnus vulgaris","Sturnus vulgaris",20,0,10,0,0,10,30,10,20,0,"Omnivore",0,0,80,20,0,0,0,0,0,77.14
"ITIS:563175","Sturnus unicolor","Sturnus unicolor",20,20,20,0,0,0,10,0,20,10,"Omnivore",0,0,50,50,0,0,0,0,0,83.66
"ITIS:915877","Sturnus cineraceus","Sturnus cineraceus",60,0,10,0,0,0,30,0,0,0,"Invertebrate",0,0,80,20,0,0,0,0,0,83
"ITIS:915879","Sturnus contra","Sturnus contra",20,0,20,0,0,0,20,20,10,10,"Omnivore",0,0,80,20,0,0,0,0,0,83.99
"ITIS:915878","Sturnus nigricollis","Sturnus nigricollis",70,0,0,0,0,0,0,0,30,0,"Invertebrate",0,0,80,20,0,0,0,0,0,156.92
"ITIS:915875","Sturnus burmannicus","Sturnus burmannicus",50,0,0,0,0,0,50,0,0,0,"Omnivore",0,0,80,0,20,0,0,0,0,81.72
"ITIS:915874","Sturnus melanopterus","Sturnus melanopterus",30,0,0,0,0,0,40,30,0,0,"FruiNect",0,0,20,40,40,0,0,0,0,81.72
"ITIS:560779","Leucopsar rothschildi","Leucopsar rothschildi",30,0,0,0,0,0,70,0,0,0,"FruiNect",0,0,20,40,40,0,0,0,0,91.3
"ITIS:554025","Acridotheres tristis","Acridotheres tristis",40,10,10,10,0,0,10,10,10,0,"Omnivore",0,0,70,20,10,0,0,0,0,116.43
"ITIS:558402","Acridotheres ginginianus","Acridotheres ginginianus",40,0,10,0,0,0,20,10,20,0,"Omnivore",0,0,50,30,20,0,0,0,0,72
"ITIS:558401","Acridotheres fuscus","Acridotheres fuscus",40,0,0,0,0,0,30,10,20,0,"Omnivore",0,0,50,30,20,0,0,0,0,82.8
"ITIS:558403","Acridotheres grandis","Acridotheres grandis",60,0,0,0,0,0,20,0,20,0,"Invertebrate",0,0,0,70,30,0,0,0,0,98.91
"ITIS:558400","Acridotheres cinereus","Acridotheres cinereus",80,0,0,0,0,0,20,0,0,0,"Invertebrate",0,0,40,30,30,0,0,0,0,93.56
"ITIS:558399","Acridotheres albocinctus","Acridotheres albocinctus",40,0,10,0,0,0,20,10,20,0,"Omnivore",0,0,40,40,20,0,0,0,0,93.56
"ITIS:179642","Acridotheres cristatellus","Acridotheres cristatellus",50,0,0,0,0,10,40,0,0,0,"Omnivore",0,0,0,50,50,0,0,0,0,116.31
